DialogIdx,DialogCon,ConnectNPC,ConnectQuest,Comment,NextDialog,Selection
D030,원하는게 뭐에요?,N004,,"돌로레스와 직접적으로 상호작용 할 때 하는 말 [상점/대화하기/대화종료] 선택박스 출력","{'EXIT','D027','EXIT'}","{'상점', '대화하기', '종료'}"
D031,여기 없는거 빼곤 다 있어요.,N004,,D026에서 [상점] 선택시 출력,,
D032,어서오세요!,N005,,[상점/대화하기/종료] 선택박스 출력,,
D033,안녕하세요...,N005,Q003,N005와의 호감도가 0일 때 / Q003 트리거,{D034},
D034,안녕하세요. 지금 장사는 안하시나요?,P,Q003,,{D035},
D035,네… 지금 재료가 좀 부족해서 구하고있어요,N005,Q003,,{D036},
D036,혹시 급하시지 않으면 저 좀 도와주실 수 있으신가요?,N005,Q003,,{D037},
D037,감사합니다. 밀을 세 개만 구해주세요!,N005,Q003,,-,
D038,빨리 장사해야 하는데...,N005,Q003,Q003의 목표를 달성하지 못했을 때 출력,-,
D039,감사합니다!,N005,Q003,Q003의 목표를 달성하고 대화했을 때 출력,{D040},
D040,덕분에 멀쩡하게 장사할 수 있을 것 같아요!,N005,Q003,대화 완료 이후 해당 NPC에게서 음식 구매 가능,,
D041,어서오세요~ 파스타 가게입니다!,N005,,Q003 클리어 후 N005와 대화,"{'EXIT', 'D042', 'EXIT'}","{'상점', '대화하기','종료'}"
D042,메뉴는 단일 품목입니다!,N005,,,,
D043,......,N013,,,{D044},
D044,어서오게,N013,,,"{D045, D046}",
D045,"광산이 멈춰서, 있는 재료만 쓴다.",N013,,,{'Upgrade'},
D046,......,N013,,,{'EXIT'},
D047,꽃 사세요~,N006,,나디아 기본 다이얼로그,,
D048,"어머, 어서 와요!",N006,Q009,,{D049},
D049,휴고가 얘기한 분이군요,N006,Q009,,{D050},
D050,"벌써 휴고씨가 이야기하셨나요? 방금 뵌거같은데, 정말 빠르시네요.",P,Q009,,{D051},
D051,그럼요. 우리 마을 제일 빠른 소식통이거든요.,N006,Q009,,{D052},
D052,마을 일 도와주신다면서요?,N006,Q009,,{D053},
D053,저도 바쁘긴 한데...,P,Q009,,{D054},
D054,꽃을 종류별로 세 송이 부탁드려요,N006,Q009,,{D055},
D055,바쁘다니까요...,P,Q009,,{D056},
D056,고! 마! 워! 요!,N006,Q009,,-,
D057,"어머, 예쁜 꽃이네요.",N006,Q009,Q009의 목표를 달성하고 대화했을 때 출력,{D058},
D058,고마워요,N006,Q009,,{D059},
D059,앞으로도 잘 부탁해요,N006,Q009,,-,
D060,안녕하세요?,N008,,실비 기본 다이얼로그,,
D061,처음뵙죠?,N008,Q010,,{D062},
D062,이번에 에드 마을에 온 {PlayerName}입니다.,P,Q010,,{D063},
D063,"아, 그분! 마을 일 도와주신다 들었어요.",N008,Q010,,{D064},
D064,그럼 저에게 버섯도 좀 구해다 주실 수 있나요?,N008,Q010,,-,
D065,음~ 맛있는 스튜가 만들어질 것 같네요.,N008,Q010,Q010의 목표를 달성하고 대화했을 때 출력,{D066},
D066,고마워요.,N008,Q010,,{D067},
D067,또 봬요.,N008,Q010,,-,
D068,목공소일세. 뭘 찾나?,N009,,윌리엄 기본 다이얼로그,,
D069,그래. 휴고가 보냈다고?,N009,Q006,,{D070},
D070,(그냥 인사만 하러 왔는데...),P,Q006,,{D071},
D071,축제에 쓸 목재가 모자라,N009,Q006,,{D072},
D072,목공소에 목재가 부족해요?,P,Q006,,{D073},
D073,갑작스런 축제라 부족하지 뭔가.,N009,Q006,,{D074},
D074,목재 좀 구해줄 수 있겠나?,N009,Q006,,-,
D075,도움 고맙네. 덕분에 준비를 마칠 수 있겠어.,N009,Q006,Q006의 목표를 달성하고 대화했을 때 출력,,
D076,어.. 안녕하세요?,N010,,이안 기본 다이얼로그,,
D077,휴고 씨에게 들으셨군요.,N010,Q007,,{D078},
D078,"떠돌이 공연자, 이안입니다.",N010,Q007,,{D079},
D079,곧 있을 축제에서 무대를 하신다고 들었는데,P,Q007,,{D080},
D080,"네, 그런데 목이 좀 안좋아서요.",N010,Q007,,{D081},
D081,혹시 무를 조금 구해주실 수 있으신가요?,N010,Q007,,-,
D082,정말 감사합니다. 공연 때까지 잘 회복할게요.,N010,Q007,Q007의 목표를 달성하고 대화했을 때 출력,{D083},
D083,"제 무대, 기대해주세요.",N010,Q007,,-,
D084,선술집에 온 걸 환영하네,N011,,레오 기본 다이얼로그,"{'D086'}",
D085,휴고가 보냈나?,N011,Q008,,{D086},
D086,"축제용 맥주를 빚어야 하는데, 보리가 모자라네",N011,Q008,,{D087},
D087,보리 좀 가져다줄 수 있겠나?,N011,Q008,,-,
D088,여기요,P,Q008,Q008의 목표를 달성하고 대화했을 때 출력,{D089},
D089,고맙네. 이 정도면 축제 전까지 채울 수 있겠어.,N011,Q008,,{D090},
D090,축제 때 우리 가게로 와. 한 잔 대접하지.,N011,Q008,,-,
D091,"네~ 에드 마을의 유일한 우체부, 휴고입니다~",N012,,휴고 기본 다이얼로그,"{'D092'}",
D092,"아, {PlayerName}님! 안녕하세요.",N012,,,{D093},
D093,마을 분들과 아직 인사 못 하셨죠?,N012,,,{D094},
D094,"한 바퀴 돌며 인사도 하고, 일손도 좀 도와주세요.",N012,,,-,
D095,"흥흥흥, 꽃으로 뭘 만들어볼까?",N006,Q009,Q009의 목표를 달성하지 못했을 때 출력,-,
D096,스튜에 들어가는 다른 재료가...,N008,Q010,Q010의 목표를 달성하지 못했을 때 출력,-,
D097,거참... 무대를 만들어달라니.,N009,Q006,Q006의 목표를 달성하지 못했을 때 출력,-,
D098,무가 목 건강에 좋아요.,N010,Q007,Q007의 목표를 달성하지 못했을 때 출력,-,
D099,한 잔 마시겠나?,N011,Q008,Q008의 목표를 달성하지 못했을 때 출력,-,
D100,알렉스가 세상을 구할꺼야!,N014,,캐시 기본 다이얼로그,"{D101}",
D101,오빠!,N014,Q011,,{D102},
D102,응? 무슨일이니?,P,Q011,,{D103},
D103,알렉스가 배고프대!,N014,Q011,,{D104},
D104,알렉스가 누구니?,P,Q011,,{D105},
D105,알렉스는 알렉스야! ,N014,Q011,,{D106},
D106,알렉스는 생선을 좋아해!,N014,Q011,,{D107},
D107,하지만 오빠는 생선을 얻을 수 없는걸?,P,Q011,,{D108},
D108,"그럼 톰 아저씨한테 물어봐, 가끔씩 알렉스한테 생선 줬어!",N014,Q011,,{D109},
D109,톰 아저씨라는 분이 어디에 있는지 아니?,P,Q011,,{D110},
D110,맨날 물가에서 길다란 막대기랑 서있는거 봤어.,N014,Q011,,,
D111,오빠! 알렉스가 배고프다는데 생선은?,N014,Q012,Q012 목표 미충족시 출력,,
D112,와! 생선이다! 알렉스 생선이야!,N014,Q012,Q012 목표 달성시,{D113},
D113,고마워 오빠! 다음에 또 부탁할게!,N014,Q012,,,
D114,"낚시 하는 거, 이제 알아?",N014,Q012,Q012 시작트리거,{D115},
D115,그럼 알렉스 줄 생선 구해다 주라,N014,Q012,,{D116},
D116,세 마리면 돼,N014,Q012,,-,
